1,2,70,140,139,209
1,1,140,140,209,209
3,0,140,70,209,139
3,1,140,140,209,209
4,1,70,0,139,69
4,1,0,70,69,139
4,0,70,140,139,209
5,1,70,70,139,139
7,1,0,0,69,69
9,0,70,0,139,69
9,1,140,0,209,69
9,2,0,140,69,209
10,0,0,140,69,209
11,2,140,0,209,69
11,1,140,140,209,209
12,2,0,140,69,209
12,1,140,140,209,209
13,2,140,140,209,209
14,2,70,70,139,139
14,0,140,140,209,209
16,2,0,0,69,69
16,1,70,0,139,69
16,1,140,0,209,69
16,1,0,140,69,209
16,0,140,140,209,209
17,1,70,0,139,69
17,1,140,0,209,69
18,1,70,0,139,69
18,0,140,0,209,69
20,0,0,0,69,69
20,1,0,70,69,139
20,0,140,70,209,139
21,0,140,140,209,209
22,0,0,0,69,69
22,2,70,70,139,139
22,0,140,140,209,209
23,0,70,0,139,69
24,1,0,140,69,209
25,0,140,0,209,69
25,2,0,70,69,139
25,2,140,70,209,139
25,1,140,140,209,209
26,1,70,70,139,139
